data,valor
01/03/2011,26.06
01/04/2011,26.66
01/05/2011,26.49
01/06/2011,26.30
01/07/2011,26.34
01/08/2011,26.05
01/09/2011,26.75
01/10/2011,27.67
01/11/2011,26.82
01/12/2011,25.04
01/01/2012,26.04
01/02/2012,26.79
01/03/2012,26.56
01/04/2012,26.34
01/05/2012,24.76
01/06/2012,24.17
01/07/2012,23.63
01/08/2012,22.83
01/09/2012,22.88
01/10/2012,22.42
01/11/2012,21.87
01/12/2012,20.85
01/01/2013,20.87
01/02/2013,21.22
01/03/2013,20.60
01/04/2013,20.44
01/05/2013,20.09
01/06/2013,19.43
01/07/2013,19.82
01/08/2013,19.53
01/09/2013,19.61
01/10/2013,20.13
01/11/2013,19.94
01/12/2013,19.31
01/01/2014,19.94
01/02/2014,21.31
01/03/2014,21.37
01/04/2014,21.30
01/05/2014,21.44
01/06/2014,21.85
01/07/2014,21.98
01/08/2014,21.98
01/09/2014,21.31
01/10/2014,21.95
01/11/2014,21.97
01/12/2014,21.18
01/01/2015,22.42
01/02/2015,23.23
01/03/2015,22.91
01/04/2015,23.86
01/05/2015,24.43
01/06/2015,24.94
01/07/2015,25.74
01/08/2015,26.06
01/09/2015,25.94
01/10/2015,26.86
01/11/2015,27.15
01/12/2015,26.27
01/01/2016,27.66
01/02/2016,28.64
01/03/2016,29.80
01/04/2016,31.08
01/05/2016,31.57
01/06/2016,31.23
01/07/2016,31.52
01/08/2016,31.80
01/09/2016,32.61
01/10/2016,33.08
01/11/2016,32.87
01/12/2016,31.77
01/01/2017,32.54
01/02/2017,32.92
01/03/2017,32.63
01/04/2017,30.29
01/05/2017,28.13
01/06/2017,28.10
01/07/2017,28.94
01/08/2017,28.57
01/09/2017,26.98
01/10/2017,27.32
01/11/2017,26.66
01/12/2017,25.15
01/01/2018,25.64
01/02/2018,26.65
01/03/2018,26.59
01/04/2018,26.56
01/05/2018,24.72
01/06/2018,23.77
01/07/2018,23.49
01/08/2018,23.19
01/09/2018,22.96
01/10/2018,23.64
01/11/2018,23.90
01/12/2018,22.66
01/01/2019,24.19
01/02/2019,24.87
01/03/2019,25.34
01/04/2019,25.32
01/05/2019,25.21
01/06/2019,25.71
01/07/2019,25.69
01/08/2019,25.92
01/09/2019,25.31
01/10/2019,24.87
01/11/2019,25.21
01/12/2019,23.82
01/01/2020,23.75
01/02/2020,24.50
01/03/2020,23.85
01/04/2020,22.52
01/05/2020,22.07
01/06/2020,20.90
01/07/2020,20.75
01/08/2020,20.02
01/09/2020,19.40
01/10/2020,19.69
01/11/2020,19.17
01/12/2020,18.97
01/01/2021,19.95
01/02/2021,20.19
01/03/2021,20.00
01/04/2021,19.91
01/05/2021,19.05
01/06/2021,19.01
01/07/2021,18.73
01/08/2021,18.59
01/09/2021,18.66
01/10/2021,19.35
01/11/2021,19.46
01/12/2021,20.18
01/01/2022,20.57
01/02/2022,21.43
01/03/2022,21.95
01/04/2022,22.29
01/05/2022,22.30
01/06/2022,22.66
01/07/2022,23.24
01/08/2022,24.06
01/09/2022,24.04
01/10/2022,25.67
01/11/2022,25.89
01/12/2022,24.48
01/01/2023,25.09
01/02/2023,26.04
01/03/2023,26.12
01/04/2023,27.56
01/05/2023,27.61
01/06/2023,27.26
01/07/2023,26.74
01/08/2023,26.34
01/09/2023,25.91
01/10/2023,25.26
01/11/2023,25.33
01/12/2023,24.98
01/01/2024,24.07
01/02/2024,24.29
01/03/2024,24.64
01/04/2024,24.22
01/05/2024,24.01
01/06/2024,23.78
01/07/2024,23.65
01/08/2024,23.49
01/09/2024,23.47
01/10/2024,23.24
01/11/2024,23.54
01/12/2024,22.77
01/01/2025,23.18
01/02/2025,24.90
01/03/2025,24.89
01/04/2025,25.70
01/05/2025,26.01
01/06/2025,26.24
01/07/2025,25.69
01/08/2025,25.98
01/09/2025,25.93
01/10/2025,26.20
01/11/2025,27.41
01/12/2025,27.25
01/01/2026,27.52
01/02/2026,28.07
01/03/2026,27.81
01/04/2026,28.42
01/05/2026,28.19
